City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,stephenville,32.2207,-98.2023,22.87,45,0,2.57,US,1682636449
350,piacabucu,-10.4056,-36.4344,25.84,83,37,3.43,BR,1682636584
351,south hedland,-20.4089,118.5983,22.96,68,40,1.54,AU,1682636585
352,akureyri,65.6835,-18.0878,-2.04,64,40,3.09,IS,1682636585
353,bikenibeu village,1.3673,173.1241,29.98,74,20,5.14,KI,1682636585
354,buala,-8.145,159.5921,29.69,67,27,1.44,SB,1682636585
355,san patricio,28.017,-97.5169,27.87,56,45,2.72,US,1682636586
356,fiambala,-27.6871,-67.6149,21.7,38,27,1.5,AR,1682636586
357,gejiu,23.306,103.1635,12.06,94,30,1.76,CN,1682636586
358,tionk essil,12.7856,-16.5217,25.03,64,0,4.54,SN,1682636586
359,guasdualito,7.2424,-70.7324,28.98,79,40,1.54,VE,1682636587
